É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/05/11 20:19:40

,êºã{,êºã{,êºã{
îNåéì˙éû,ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm)
,,ïiéøèÓïÒ,ãœéøî‘çÜ
2023/5/1 1:00:00,0.0,8,1
2023/5/1 2:00:00,0.0,8,1
2023/5/1 3:00:00,0.0,8,1
2023/5/1 4:00:00,0.0,8,1
2023/5/1 5:00:00,0.0,8,1
2023/5/1 6:00:00,0.0,8,1
2023/5/1 7:00:00,0.0,8,1
2023/5/1 8:00:00,0.0,8,1
2023/5/1 9:00:00,0.0,8,1
2023/5/1 10:00:00,0.0,8,1
2023/5/1 11:00:00,0.0,8,1
2023/5/1 12:00:00,0.0,8,1
2023/5/1 13:00:00,0.0,8,1
2023/5/1 14:00:00,0.0,8,1
2023/5/1 15:00:00,0.0,8,1
2023/5/1 16:00:00,0.0,8,1
2023/5/1 17:00:00,0.5,8,1
2023/5/1 18:00:00,1.5,8,1
2023/5/1 19:00:00,1.0,8,1
2023/5/1 20:00:00,0.0,8,1
2023/5/1 21:00:00,0.0,8,1
2023/5/1 22:00:00,0.0,8,1
2023/5/1 23:00:00,0.0,8,1
2023/5/2 00:00:00,0.0,8,1
2023/5/2 1:00:00,0.0,8,1
2023/5/2 2:00:00,0.0,8,1
2023/5/2 3:00:00,0.0,8,1
2023/5/2 4:00:00,0.0,8,1
2023/5/2 5:00:00,0.0,8,1
2023/5/2 6:00:00,0.0,8,1
2023/5/2 7:00:00,0.0,8,1
2023/5/2 8:00:00,0.0,8,1
2023/5/2 9:00:00,0.0,8,1
2023/5/2 10:00:00,0.0,8,1
2023/5/2 11:00:00,0.0,8,1
2023/5/2 12:00:00,0.0,8,1
2023/5/2 13:00:00,0.0,8,1
2023/5/2 14:00:00,0.0,8,1
2023/5/2 15:00:00,0.0,8,1
2023/5/2 16:00:00,0.0,8,1
2023/5/2 17:00:00,0.0,8,1
2023/5/2 18:00:00,0.0,8,1
2023/5/2 19:00:00,0.0,8,1
2023/5/2 20:00:00,0.0,8,1
2023/5/2 21:00:00,0.0,8,1
2023/5/2 22:00:00,0.0,8,1
2023/5/2 23:00:00,0.0,8,1
2023/5/3 00:00:00,0.0,8,1
2023/5/3 1:00:00,0.0,8,1
2023/5/3 2:00:00,0.0,8,1
2023/5/3 3:00:00,0.0,8,1
2023/5/3 4:00:00,0.0,8,1
2023/5/3 5:00:00,0.0,8,1
2023/5/3 6:00:00,0.0,8,1
2023/5/3 7:00:00,0.0,8,1
2023/5/3 8:00:00,0.0,8,1
2023/5/3 9:00:00,0.0,8,1
2023/5/3 10:00:00,0.0,8,1
2023/5/3 11:00:00,0.0,8,1
2023/5/3 12:00:00,0.0,8,1
2023/5/3 13:00:00,0.0,8,1
2023/5/3 14:00:00,0.0,8,1
2023/5/3 15:00:00,0.0,8,1
2023/5/3 16:00:00,0.0,8,1
2023/5/3 17:00:00,0.0,8,1
2023/5/3 18:00:00,0.0,8,1
2023/5/3 19:00:00,0.0,8,1
2023/5/3 20:00:00,0.0,8,1
2023/5/3 21:00:00,0.0,8,1
2023/5/3 22:00:00,0.0,8,1
2023/5/3 23:00:00,0.0,8,1
2023/5/4 00:00:00,0.0,8,1
2023/5/4 1:00:00,0.0,8,1
2023/5/4 2:00:00,0.0,8,1
2023/5/4 3:00:00,0.0,8,1
2023/5/4 4:00:00,0.0,8,1
2023/5/4 5:00:00,0.0,8,1
2023/5/4 6:00:00,0.0,8,1
2023/5/4 7:00:00,0.0,8,1
2023/5/4 8:00:00,0.0,8,1
2023/5/4 9:00:00,0.0,8,1
2023/5/4 10:00:00,0.0,8,1
2023/5/4 11:00:00,0.0,8,1
2023/5/4 12:00:00,0.0,8,1
2023/5/4 13:00:00,0.0,8,1
2023/5/4 14:00:00,0.0,8,1
2023/5/4 15:00:00,0.0,8,1
2023/5/4 16:00:00,0.0,8,1
2023/5/4 17:00:00,0.0,8,1
2023/5/4 18:00:00,0.0,8,1
2023/5/4 19:00:00,0.0,8,1
2023/5/4 20:00:00,0.0,8,1
2023/5/4 21:00:00,0.0,8,1
2023/5/4 22:00:00,0.0,8,1
2023/5/4 23:00:00,0.0,8,1
2023/5/5 00:00:00,0.0,8,1
2023/5/5 1:00:00,0.0,8,1
2023/5/5 2:00:00,0.0,8,1
2023/5/5 3:00:00,0.0,8,1
2023/5/5 4:00:00,0.0,8,1
2023/5/5 5:00:00,0.0,8,1
2023/5/5 6:00:00,0.0,8,1
2023/5/5 7:00:00,0.0,8,1
2023/5/5 8:00:00,0.0,8,1
2023/5/5 9:00:00,0.0,8,1
2023/5/5 10:00:00,0.0,8,1
2023/5/5 11:00:00,0.0,8,1
2023/5/5 12:00:00,0.0,8,1
2023/5/5 13:00:00,0.0,8,1
2023/5/5 14:00:00,0.0,8,1
2023/5/5 15:00:00,0.0,8,1
2023/5/5 16:00:00,0.0,8,1
2023/5/5 17:00:00,0.0,8,1
2023/5/5 18:00:00,0.0,8,1
2023/5/5 19:00:00,0.0,8,1
2023/5/5 20:00:00,0.0,8,1
2023/5/5 21:00:00,0.0,8,1
2023/5/5 22:00:00,0.0,8,1
2023/5/5 23:00:00,0.0,8,1
2023/5/6 00:00:00,0.0,8,1
2023/5/6 1:00:00,0.0,8,1
2023/5/6 2:00:00,0.0,8,1
2023/5/6 3:00:00,0.0,8,1
2023/5/6 4:00:00,0.0,8,1
2023/5/6 5:00:00,0.0,8,1
2023/5/6 6:00:00,0.0,8,1
2023/5/6 7:00:00,0.0,8,1
2023/5/6 8:00:00,0.0,8,1
2023/5/6 9:00:00,0.0,8,1
2023/5/6 10:00:00,0.0,8,1
2023/5/6 11:00:00,0.0,8,1
2023/5/6 12:00:00,0.0,8,1
2023/5/6 13:00:00,0.0,8,1
2023/5/6 14:00:00,0.0,8,1
2023/5/6 15:00:00,0.0,8,1
2023/5/6 16:00:00,0.0,8,1
2023/5/6 17:00:00,0.0,8,1
2023/5/6 18:00:00,0.0,8,1
2023/5/6 19:00:00,1.5,8,1
2023/5/6 20:00:00,1.5,8,1
2023/5/6 21:00:00,0.0,8,1
2023/5/6 22:00:00,1.5,8,1
2023/5/6 23:00:00,3.5,8,1
2023/5/7 00:00:00,3.5,8,1
2023/5/7 1:00:00,6.0,8,1
2023/5/7 2:00:00,2.5,8,1
2023/5/7 3:00:00,1.0,8,1
2023/5/7 4:00:00,1.0,8,1
2023/5/7 5:00:00,1.0,8,1
2023/5/7 6:00:00,2.0,8,1
2023/5/7 7:00:00,1.0,8,1
2023/5/7 8:00:00,7.5,8,1
2023/5/7 9:00:00,4.5,8,1
2023/5/7 10:00:00,2.5,8,1
2023/5/7 11:00:00,2.5,8,1
2023/5/7 12:00:00,4.5,8,1
2023/5/7 13:00:00,3.0,8,1
2023/5/7 14:00:00,7.0,8,1
2023/5/7 15:00:00,3.5,8,1
2023/5/7 16:00:00,8.0,8,1
2023/5/7 17:00:00,10.0,8,1
2023/5/7 18:00:00,5.5,8,1
2023/5/7 19:00:00,5.0,8,1
2023/5/7 20:00:00,13.0,8,1
2023/5/7 21:00:00,9.5,8,1
2023/5/7 22:00:00,9.0,8,1
2023/5/7 23:00:00,8.0,8,1
2023/5/8 00:00:00,34.0,8,1
2023/5/8 1:00:00,32.5,8,1
2023/5/8 2:00:00,10.0,8,1
